FechaProgramacion,Fabrica,Seccion,Linea,Equipo,TiempoPNP
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,VAC TRAC ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA EMBALADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP RODILLO PALETAS,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP MASS CONVEYOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENTADOR ENVASES VACIO,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO LLEN-CERRADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PALETIZADOR WALLON,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,LLENADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,Llenado Y Embalado / Baby 4 - FLE,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE ENVASE LLENO,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,DETECTOR RAYOS X INSCAN100,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CODIFICADOR DE CAJAS MARSH,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,20
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP ALIMENT CAJAS A PALETIZ,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA PALETIZADOR WALLON,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO EMBAL-ETIQ,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES LLENADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,SOPLADOR DE ENVASES ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ENGOMADORA - PRENSA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ENFRIADOR,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA CERRADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR PALETAS,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,CERRADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,BBA DE RECUPERO LLENADORA,45
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP SALIDA CERRADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TRANSP CABLE ELEVADO CERRADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,TABLERO AUTOMATISMO ESTERILIZADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ROBOT PALETIZADOR KUKA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,PRECALENTADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ETIQUETADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESTERILIZADOR,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ESPIRAL INGRESO ETIQUETADORA,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,EMBALADORA NON SHOCK,234
19/7/2018,Envases,Envasado Evaporada,Linea Baby 4,ELEVADOR SALIDA ENFRIADOR,234
